date,close
2024-05-31,45.52
2024-06-07,43.63
2024-06-14,43.68
2024-06-21,44.38
2024-06-28,43.79
2024-07-05,48.86
2024-07-12,45.59
2024-07-19,43.97
2024-07-26,41.83
2024-08-02,40.81
2024-08-09,41.12
2024-08-16,38.67
2024-08-23,40.38
2024-08-30,42.01
2024-09-06,39.63
2024-09-13,38.93
2024-09-20,41.36
2024-09-27,42.36
2024-10-04,43.97
2024-10-11,43.33
2024-10-18,41.82
2024-10-25,44.15
2024-11-01,46.3
2024-11-08,48.77
2024-11-15,45.35
2024-11-22,41.84
2024-11-29,41.61
2024-12-06,42.97
2024-12-13,42.61
2024-12-20,39.88
2024-12-27,39.88
2025-01-03,40.27
2025-01-10,45.58
2025-01-17,45.69
2025-01-24,45.22
2025-01-31,46.11
2025-02-07,45.98
2025-02-14,46.07
2025-02-21,47.34
2025-02-28,44.12
2025-03-07,43.42
2025-03-14,41.59
2025-03-21,42.01
2025-03-28,45.16
2025-04-04,45.84
2025-04-11,47.35
2025-04-17,47.87
2025-04-25,49.81
2025-05-02,49.43
2025-05-09,48.57
2025-05-16,48.93
2025-05-23,49.35
2025-05-30,46.89
2025-06-06,47.5
2025-06-13,50.61
2025-06-20,55.1
2025-06-27,52.61
2025-07-03,54.67
2025-07-11,53.65
2025-07-18,55.59
2025-07-25,55.98
2025-08-01,53.9
2025-08-08,52.53
2025-08-15,53.23
2025-08-22,55.32
2025-08-29,52.14
2025-09-05,50.56
2025-09-12,51.38
2025-09-19,50.03
2025-09-26,49.6
2025-10-03,49.43
2025-10-10,49.4
2025-10-17,51.13
2025-10-24,50.27
2025-10-31,48.68
2025-11-09,49.8
2025-11-16,50.16
2025-11-23,50.7
2025-11-30,51.91
2025-12-07,51.49
2025-12-14,50.09
2025-12-21,48.69
2025-12-28,49.22
2026-01-04,49.38
2026-01-11,50.02
2026-01-16,52.61
2026-01-25,54.31
2026-02-01,52.75
2026-02-08,56.18
2026-02-13,57.08
2026-02-22,59.57
2026-03-01,63.11
2026-03-08,69.52
2026-03-15,66.79
2026-03-22,65.52
2026-03-29,67.86
2026-04-05,68.83
2026-04-12,67.73
2026-04-19,68.36
2026-04-26,71.97
2026-05-03,75.32
2026-05-10,74.89
2026-05-17,74.44
2026-05-22,73.98
